Luminosity,Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
63.96,24.77,45,24,400,01/03/2020 10:22:01,No
64.06,24.77,45,25,55,01/03/2020 10:22:02,No
64.06,24.77,45,26,71.52,01/03/2020 10:22:03,No
63.18,24.44,45,23,56,01/03/2020 10:22:04,No
69.14,24.12,45,24,64,01/03/2020 10:22:05,No
65.62,23.8,45,24,33,01/03/2020 10:22:06,No
66.41,23.8,45,25,32,01/03/2020 10:22:07,No
68.85,24.77,45,26,34,01/03/2020 10:22:08,No
69.14,24.77,45,23,65,01/03/2020 10:22:09,No
67.58,24.44,45,24,32,01/03/2020 10:22:10,No
61.91,23.8,42,24,56,01/03/2020 10:22:11,No
54.79,24.12,42,25,43,01/03/2020 10:22:12,No
90.33,23.48,42,26,11.61,01/03/2020 10:22:13,No
100,24.44,42,23,10.78,01/03/2020 10:22:14,No
100,24.12,42,24,43,01/03/2020 10:22:15,No
83.59,23.48,42,24,76,01/03/2020 10:22:16,No
79.49,24.12,42,25,22,01/03/2020 10:22:17,No
84.18,23.48,42,26,34,01/03/2020 10:22:18,No
88.38,24.77,42,23,400,01/03/2020 10:22:19,No
87.6,23.48,42,24,25,01/03/2020 10:22:20,No
79,23.48,42,24,54,01/03/2020 10:22:21,No
84.67,23.48,42,25,54,01/03/2020 10:22:22,No
87.6,23.48,42,26,400,01/03/2020 10:22:23,No
60.94,24.77,42,23,78.83,01/03/2020 10:22:24,No
95.31,23.48,48,24,73.24,01/03/2020 10:22:25,No
92.77,23.48,48,24,73.64,01/03/2020 10:22:26,No
93.16,23.48,48,25,73.86,01/03/2020 10:22:27,No
84.77,23.48,48,26,33,01/03/2020 10:22:28,No
88.67,23.8,48,23,34,01/03/2020 10:22:29,No
87.11,24.77,48,24,68.15,01/03/2020 10:22:30,No
86.23,24.77,48,24,66.11,01/03/2020 10:22:31,No
84.77,24.44,48,25,66.15,01/03/2020 10:22:32,No
