Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
24.77,11,0,400,01/03/2020 10:22:01,No
24.77,11,0,55,01/03/2020 10:22:02,No
24.77,11,0,71.52,01/03/2020 10:22:03,No
24.44,11,0,56,01/03/2020 10:22:04,No
24.12,11,0,64,01/03/2020 10:22:05,No
23.8,11,0,33,01/03/2020 10:22:06,No
23.8,11,0,32,01/03/2020 10:22:07,No
24.77,11,0,34,01/03/2020 10:22:08,No
24.77,11,0,65,01/03/2020 10:22:09,No
24.44,11,0,32,01/03/2020 10:22:10,No
23.8,12,0,56,01/03/2020 10:22:11,No
24.12,12,0,43,01/03/2020 10:22:12,No
23.48,12,0,11.61,01/03/2020 10:22:13,No
24.44,12,0,10.78,01/03/2020 10:22:14,No
24.12,12,0,43,01/03/2020 10:22:15,No
23.48,12,0,76,01/03/2020 10:22:16,No
24.12,12,0,22,01/03/2020 10:22:17,No
23.48,12,0,34,01/03/2020 10:22:18,No
24.77,12,0,400,01/03/2020 10:22:19,No
23.48,12,0,25,01/03/2020 10:22:20,No
23.48,12,0,54,01/03/2020 10:22:21,No
23.48,12,0,54,01/03/2020 10:22:22,No
23.48,12,0,400,01/03/2020 10:22:23,No
24.77,12,0,78.83,01/03/2020 10:22:24,No
23.48,13,0,73.24,01/03/2020 10:22:25,No
23.48,13,0,73.64,01/03/2020 10:22:26,No
23.48,13,0,73.86,01/03/2020 10:22:27,No
23.48,13,0,33,01/03/2020 10:22:28,No
23.8,13,0,34,01/03/2020 10:22:29,No
24.77,13,0,68.15,01/03/2020 10:22:30,No
24.77,13,0,66.11,01/03/2020 10:22:31,No
24.44,13,0,66.15,01/03/2020 10:22:32,No
24.77,13,0,66.19,01/03/2020 10:22:33,No
24.77,13,0,64.68,01/03/2020 10:22:34,No
24.77,13,0,73.78,01/03/2020 10:22:35,No
24.44,13,0,68.42,01/03/2020 10:22:36,No
24.44,13,0,69.64,01/03/2020 10:22:37,No
24.77,13,0,68.61,01/03/2020 10:22:38,No
24.77,13,0,67.07,01/03/2020 10:22:39,No
24.12,13,0,67.14,01/03/2020 10:22:40,No
24.44,13,0,68.91,01/03/2020 10:22:41,No
24.44,13,0,55,01/03/2020 10:22:42,No
23.48,11,0,63.88,01/03/2020 10:22:43,No
24.12,11,0,37.69,01/03/2020 10:22:44,No
24.44,11,0,65,01/03/2020 10:22:45,No
24.12,11,0,55,01/03/2020 10:22:46,No
23.48,11,1,19.84,01/03/2020 10:22:47,Yes
24.12,11,1,12,01/03/2020 10:22:48,Yes
24.44,11,1,11,01/03/2020 10:22:49,Yes
24.14,11,0,6.79,01/03/2020 10:22:50,No
24.14,11,0,8.79,01/03/2020 10:22:51,No
24.14,11,0,8.52,01/03/2020 10:22:52,No
24.14,12,0,400,01/03/2020 10:22:53,No
24.14,12,0,7.48,01/03/2020 10:22:54,No
24.14,12,0,8.8,01/03/2020 10:22:55,No
24.82,12,0,8.84,01/03/2020 10:22:56,No
24.14,12,0,9.42,01/03/2020 10:22:57,No
24.63,12,0,400,01/03/2020 10:22:58,No
24.63,12,0,400,01/03/2020 10:22:59,No
24.63,12,0,400,01/03/2020 10:23:00,No
24.63,12,0,200,01/03/2020 10:23:01,No
24.63,12,0,400,01/03/2020 10:23:02,No
24.63,12,0,400,01/03/2020 10:23:03,No
24.63,12,0,154.51,01/03/2020 10:23:04,No
24.63,12,0,400,01/03/2020 10:23:05,No
24.63,12,0,111,01/03/2020 10:23:06,No
24.6,13,0,111,01/03/2020 10:23:07,No
24.63,13,0,400,01/03/2020 10:23:08,No
24.31,13,0,5.13,01/03/2020 10:23:09,No
23.63,13,0,400,01/03/2020 10:23:10,No
23.63,13,0,400,01/03/2020 10:23:11,No
23.63,13,0,400,01/03/2020 10:23:12,No
23.63,13,0,400,01/03/2020 10:23:13,No
23.63,13,0,400,01/03/2020 10:23:14,No
23.63,13,0,400,01/03/2020 10:23:15,No
23.63,13,0,400,01/03/2020 10:23:16,No
23.63,13,0,400,01/03/2020 10:23:17,No
64.05,13,1,14,01/03/2020 10:23:18,No
112,13,1,34,01/03/2020 10:23:19,Yes
131,13,1,5.12,01/03/2020 10:23:20,Yes
144,13,1,15,01/03/2020 10:23:21,Yes
